"models","RootMeanSquaredError","MeanAbsoluteError"
"Linear Regression(Multiple)",3.63200561342142,2.70170992990874
"ARMA(2,2)",0.0431546264669333,0.0305726485807199
"Sarima",0.0432202859041482,0.0306451847474579
"AR(1)",0.0431544778342974,0.0305736484077994
"GARCH(1,1)",0.0431617615618246,0.0018629376611198
"Arma-Garch(1,1)(1,1)",0.0431795620822139,0.0305998662586652
